,Jugador,img_player
149,Attila Szalai,https://img.a.transfermarkt.technology/portrait/big/263380-1691269895.jpg?lm=1
150,J. Mæhle,
151,K. Nakamura,https://img.a.transfermarkt.technology/portrait/big/405397-1660641868.png?lm=1
152,Santi Bueno,https://img.a.transfermarkt.technology/portrait/big/438001-1567158917.jpg?lm=1
153,Murillo,https://img.a.transfermarkt.technology/portrait/big/1005649-1709159139.jpg?lm=1
154,Wilson Odobert,https://img.a.transfermarkt.technology/portrait/big/743498-1672838670.jpg?lm=1
155,Matteo Pessina,https://img.a.transfermarkt.technology/portrait/big/332179-1661268524.jpg?lm=1
156,Gustav Isaksen,https://img.a.transfermarkt.technology/portrait/big/462823-1695026324.jpg?lm=1
157,G. Simeone,https://img.a.transfermarkt.technology/portrait/big/282388-1690294694.jpg?lm=1
158,M. Daramy,https://img.a.transfermarkt.technology/portrait/big/574385-1624962062.jpg?lm=1
159,S. Castro,https://img.a.transfermarkt.technology/portrait/big/303116-1661511198.jpg?lm=1
160,A. Douvikas,https://img.a.transfermarkt.technology/portrait/big/523318-1682331342.jpg?lm=1
161,Jens Cajuste,https://img.a.transfermarkt.technology/portrait/big/468066-1691568301.jpg?lm=1
162,Loïc Badé,https://img.a.transfermarkt.technology/portrait/big/730581-1681464974.jpg?lm=1
163,Tim Weah,https://img.a.transfermarkt.technology/portrait/big/370846-1692277669.jpg?lm=1
164,Anton Stach,https://img.a.transfermarkt.technology/portrait/big/344069-1692000458.jpg?lm=1
165,Boubacar Traore,https://img.a.transfermarkt.technology/portrait/big/649020-1693477837.jpg?lm=1
166,Alidu Seidu,https://img.a.transfermarkt.technology/portrait/big/798404-1679507806.jpg?lm=1
167,J. Karlsson,https://img.a.transfermarkt.technology/portrait/big/367992-1676466550.jpg?lm=1
168,Justin Kluivert,https://img.a.transfermarkt.technology/portrait/big/330659-1596107153.jpg?lm=1
169,N. Vlašić,https://img.a.transfermarkt.technology/portrait/big/293200-1695028630.jpg?lm=1
170,Tomáš Čvančara,https://img.a.transfermarkt.technology/portrait/big/544148-1691249040.jpg?lm=1
171,J. Okumu,https://img.a.transfermarkt.technology/portrait/big/453376-1626767267.jpg?lm=1
172,D. Bakwa,https://img.a.transfermarkt.technology/portrait/big/540664-1618220545.jpg?lm=1
173,Brenner,https://img.a.transfermarkt.technology/portrait/big/412366-1692880573.jpg?lm=1
174,F. Parisi,https://img.a.transfermarkt.technology/portrait/big/547985-1663677780.jpg?lm=1
175,R. Malinovskyi,https://img.a.transfermarkt.technology/portrait/big/207877-1663583019.jpg?lm=1
176,Djibril Sow,https://img.a.transfermarkt.technology/portrait/big/212723-1663065652.jpg?lm=1
177,A. Sørloth,https://img.a.transfermarkt.technology/portrait/big/238407-1716403969.jpg?lm=1
178,Kristjan Asllani,https://img.a.transfermarkt.technology/portrait/big/543771-1716969431.jpg?lm=1
179,D. Lukebakio,https://img.a.transfermarkt.technology/portrait/big/303259-1657098989.jpg?lm=1
180,Momo Cho,https://img.a.transfermarkt.technology/portrait/big/670847-1655064069.jpg?lm=1
181,J. Hofmann,https://img.a.transfermarkt.technology/portrait/big/7161-1689710421.jpg?lm=1
182,T. Baldanzi,https://img.a.transfermarkt.technology/portrait/big/641537-1661764089.jpg?lm=1
183,Natan,https://img.a.transfermarkt.technology/portrait/big/39095-1625770735.png?lm=1
184,A. Petagna,https://img.a.transfermarkt.technology/portrait/big/199258-1660297353.jpg?lm=1
185,Junior Mwanga,https://img.a.transfermarkt.technology/portrait/big/1011200-1663768138.jpg?lm=1
186,N. Domínguez,https://img.a.transfermarkt.technology/portrait/big/default.jpg?lm=1
187,Quentin Merlin,https://img.a.transfermarkt.technology/portrait/big/557613-1704213356.jpg?lm=1
188,Farès Chaïbi,https://img.a.transfermarkt.technology/portrait/big/855015-1693383538.jpg?lm=1
189,Mitchel Bakker,https://img.a.transfermarkt.technology/portrait/big/361065-1658913284.jpg?lm=1
190,Aurèle Amenda,https://img.a.transfermarkt.technology/portrait/big/635645-1707298434.jpg?lm=1
191,Morgan Rogers,https://img.a.transfermarkt.technology/portrait/big/503743-1706786450.jpg?lm=1
192,Valentín Barco,https://img.a.transfermarkt.technology/portrait/big/849410-1683292377.jpg?lm=1
193,W. Singo,https://img.a.transfermarkt.technology/portrait/big/648779-1661511097.jpg?lm=1
194,Sam Beukema,https://img.a.transfermarkt.technology/portrait/big/433984-1696837343.jpg?lm=1
195,Dan Ndoye,https://img.a.transfermarkt.technology/portrait/big/365108-1718218474.jpg?lm=1
196,Hugo Larsson,https://img.a.transfermarkt.technology/portrait/big/931838-1696509259.jpg?lm=1
197,S. Guirassy,https://img.a.transfermarkt.technology/portrait/big/270541-1691999444.jpg?lm=1
198,William Pacho,https://img.a.transfermarkt.technology/portrait/big/661171-1696508666.jpg?lm=1
199,Isak Hien,https://img.a.transfermarkt.technology/portrait/big/503075-1660197277.jpg?lm=1
200,M. Cancellieri,https://img.a.transfermarkt.technology/portrait/big/550106-1687191024.jpg?lm=1
201,Matt Turner,https://img.a.transfermarkt.technology/portrait/big/425306-1682689678.jpg?lm=1
202,Max Aarons,https://img.a.transfermarkt.technology/portrait/big/471690-1662465106.png?lm=1
203,Daniel Muñoz,https://img.a.transfermarkt.technology/portrait/big/493003-1718642628.jpg?lm=1
204,Isaak Touré,https://img.a.transfermarkt.technology/portrait/big/708678-1645641626.jpg?lm=1
205,Philipp Köhn,https://img.a.transfermarkt.technology/portrait/big/251322-1661531623.png?lm=1
206,Yankuba Minteh,https://img.a.transfermarkt.technology/portrait/big/1012534-1694774813.jpg?lm=1
207,Jorge De Frutos,https://img.a.transfermarkt.technology/portrait/big/455181-1613121992.jpg?lm=1
208,Moritz Jenz,https://img.a.transfermarkt.technology/portrait/big/460245-1689865901.jpg?lm=1
209,Tiago Tomás,https://img.a.transfermarkt.technology/portrait/big/552955-1679137361.jpg?lm=1
210,Franck Honorat,https://img.a.transfermarkt.technology/portrait/big/229006-1691248904.jpg?lm=1
211,Pablo Fornals,https://img.a.transfermarkt.technology/portrait/big/357885-1714124764.jpg?lm=1
212,Sergi Darder,https://img.a.transfermarkt.technology/portrait/big/142021-1664975574.jpg?lm=1
213,Luis Suárez,https://img.a.transfermarkt.technology/portrait/big/44352-1710080919.jpg?lm=1
214,Matz Sels,https://img.a.transfermarkt.technology/portrait/big/127202-1665067633.jpg?lm=1
